"companyId","company","ticker","alias"
"109","Fleer Trading Cards","(null)","(null)"
"110","Fleet Financial","(null)","(null)"
"111","Florida Marlins","(null)","(null)"
"112","Florida Panthers","(null)","(null)"
"113","Foot Locker/Venator Group","(null)","(null)"
"115","Ford Motor","",""
"119","General Motors","(null)","(null)"
"120","Golden State Warriors","(null)","(null)"
"121","Green Bay Packers","(null)","(null)"
"122","GTE","(null)","(null)"
"123","Harris Interactive","(null)","(null)"
"124","HBO","(null)","(null)"
"125","Heineken","(null)","(null)"
"126","HNTB","(null)","(null)"
"127","HOK Sports","(null)","(null)"
"128","Home Depot","(null)","(null)"
"129","Houston Astros","(null)","(null)"
"130","Houston Comets","(null)","(null)"
"131","Houston Rockets","(null)","(null)"
"132","Houston Texans","(null)","(null)"
"134","IBM","(null)","(null)"
"135","Ignite Sports Media","(null)","(null)"
"136","IMG","(null)","(null)"
"137","Indianapolis Motor Speedway","",""
"138","Indiana Fever","(null)","(null)"
"139","Indiana Pacers","(null)","(null)"
"140","Indianapolis Colts","(null)","(null)"
"141","IRL","",""
"142","IBL","",""
"144","IOC","(null)","(null)"
"145","Int'l Speedway Corp.","(null)","(null)"
"146","Interpublic Group of Cos.","(null)","(null)"
"148","Jacksonville Jaguars","(null)","(null)"
"149","John Hancock Mutual Life Insurance","(null)","(null)"
"150","Kansas City Chiefs","(null)","(null)"
"151","Kansas City Royals","(null)","(null)"
"152","Kansas City Wizards","(null)","(null)"
"153","Kellogg","(null)","(null)"
"157","Labatt Brewing","(null)","(null)"
"158","LPGA","",""
"159","Legg Mason","(null)","(null)"
"161","Los Angeles Clippers","(null)","(null)"
"162","Los Angeles Dodgers","(null)","(null)"
"163","Los Angeles Galaxy","(null)","(null)"
"164","Los Angeles Kings","(null)","(null)"
"165","Los Angeles Lakers","(null)","(null)"
"166","Los Angeles Sparks","(null)","(null)"
"168","M&M/Mars","(null)","(null)"
"169","Magna Int'l","(null)","(null)"
"170","MLB","",""
"171","Major League Lacrosse","(null)","(null)"
"172","MLS","",""
"174","Maple Leaf Sports & Entertainment","(null)","(null)"
"175","Marriott","(null)","(null)"
"176","MasterCard","(null)","(null)"
"177","MBNA America Bank","(null)","(null)"
"179","McDonald's","(null)","(null)"
"180","MCI WorldCom","",""
"181","NY/NJ MetroStars","","New York Red Bulls"
"182","Miami Dolphins","(null)","(null)"
"184","Miami Heat","(null)","(null)"
"185","Miami Sol","(null)","(null)"
"186","Microsoft","(null)","(null)"
"187","Anaheim Mighty Ducks","(null)","(null)"
"189","Milwaukee Brewers","(null)","(null)"
"190","Milwaukee Bucks","(null)","(null)"
"191","Minnesota Lynx","(null)","(null)"
"192","Minnesota Timberwolves","(null)","(null)"
"193","Minnesota Twins","(null)","(null)"
"194","Minnesota Vikings","(null)","(null)"
"195","Minnesota Wild","(null)","(null)"
"197","Molson","(null)","(null)"
"198","Montreal Canadiens","(null)","(null)"
"199","Montreal Expos","(null)","(null)"
"200","Motorola","(null)","(null)"
"202","Madison Square Garden","(null)","(null)"
"203","Nabisco","(null)","(null)"
"204","NASCAR","(null)","(null)"
"205","Nashville Predators","(null)","(null)"
"206","NBA","","NBDL"
"207","NFL","",""
"208","NFLE","",""
"209","NHL","",""
"210","NHRA","",""
"211","National Lacrosse League","(null)","(null)"
"212","NPSL","",""
"213","NTRA","",""
"214","Nationwide Insurance","(null)","(null)"
"215","NBC","(null)","(null)"
"216","Nestle","(null)","(null)"
"217","New England Patriots","(null)","(null)"
"218","New England Revolution","(null)","(null)"
"219","New Jersey Devils","(null)","(null)"
"220","New Jersey Nets","(null)","(null)"
"221","New Orleans Saints","(null)","(null)"
"222","New York Giants","(null)","(null)"
"223","New York Islanders","(null)","(null)"
"224","New York Jets","(null)","(null)"
"225","New York Knicks","(null)","(null)"
"226","New York Liberty","(null)","(null)"
"227","New York Mets","(null)","(null)"
"228","New York Rangers","(null)","(null)"
"229","New York Yankees","(null)","(null)"
"230","Nielsen","(null)","(null)"
"231","Nike","(null)","(null)"
"232","NikeTown","(null)","(null)"
"233","Nissan","(null)","(null)"
"234","Nokia","(null)","(null)"
"235","Oakland Athletics","(null)","(null)"
"236","Oakland Raiders","(null)","(null)"
"237","Oakley","(null)","(null)"
"238","Octagon","(null)","(null)"
"240","OPUS","(null)","(null)"
"241","Orca Bay Sports & Entertainment","(null)","(null)"
"242","Orlando Magic","(null)","(null)"
"243","Connecticut Sun","","Orlando Miracle"
"244","Ottawa Senators","(null)","(null)"
"245","Palace Sports & Entertainment","(null)","(null)"
"246","Pennzoil","(null)","(null)"
"247","PepsiCo","","Quaker Oats"
"248","Philadelphia 76ers","(null)","(null)"
"249","Philadelphia Eagles","(null)","(null)"
"250","Philadelphia Flyers","(null)","(null)"
"251","Philadelphia Phillies","(null)","(null)"
"252","Philip Morris","(null)","(null)"
"253","Phoenix Coyotes","(null)","(null)"
"254","Phoenix Mercury","(null)","(null)"
"255","Phoenix Suns","(null)","(null)"
"256","Pittsburgh Penguins","(null)","(null)"
"257","Pittsburgh Pirates","(null)","(null)"
"258","Pittsburgh Steelers","(null)","(null)"
"259","Portland Fire","(null)","(null)"
"260","Portland Trail Blazers","(null)","(null)"
"261","PricewaterhouseCoopers","(null)","(null)"
"262","PBA","",""
"263","Procter & Gamble","(null)","(null)"
"264","PGA Tour","","PGA"
"265","Prudential Securities","(null)","(null)"
"266","Puma","(null)","(null)"
"267","PVI","(null)","(null)"
"268","Quaker Oats","(null)","(null)"
"269","Quokka","(null)","(null)"
"271","R J Reynolds","(null)","(null)"
"272","Rawlings","(null)","(null)"
"273","Raycom Sports","(null)","(null)"
"274","RDV Sports","(null)","(null)"
"275","Reebok","(null)","(null)"
"276","Sacramento Kings","(null)","(null)"
"277","Sacramento Monarchs","(null)","(null)"
"278","Salomon Smith Barney","(null)","(null)"
"279","San Antonio Spurs","(null)","(null)"
"280","San Diego Chargers","(null)","(null)"
"281","San Diego Padres","(null)","(null)"
"282","San Francisco 49ers","(null)","(null)"
"283","San Francisco Giants","(null)","(null)"
"284","Houston Dynamo","",""
"285","San Jose Sharks","(null)","(null)"
"286","Sara Lee","(null)","(null)"
"287","Sears","(null)","(null)"
"288","Seattle Mariners","(null)","(null)"
"289","Seattle Seahawks","(null)","(null)"
"290","Seattle Storm","(null)","(null)"
"291","Seattle SuperSonics","(null)","(null)"
"292","Clear Channel/SFX Sports","",""
"293","SGMA","(null)","(null)"
"294","Showtime","(null)","(null)"
"295","SLOC","(null)","(null)"
"296","Speedway Motorsports Inc.","(null)","(null)"
"297","Southwest Airlines","(null)","(null)"
"298","Russell Athletic","","Spalding"
"299","Sports Illustrated","(null)","(null)"
"300","Sportservice","(null)","(null)"
"301","SportsLine.com","",""
"302","Sportvision","","Ignite Sports Media"
"303","Sprint","(null)","(null)"
"305","St. Louis Blues","(null)","(null)"
"306","St. Louis Cardinals","(null)","(null)"
"307","St. Louis Rams","(null)","(null)"
"308","Subaru","(null)","(null)"
"309","Sun Microsystems","(null)","(null)"
"310","Tampa Bay Buccaneers","(null)","(null)"
"311","Tampa Bay Rays","(null)","(null)"
"312","Tampa Bay Lightning","(null)","(null)"
"315","Tennessee Titans","(null)","(null)"
"316","Texas Rangers","(null)","(null)"
"317","The Sports Authority","(null)","(null)"
"318","Ticketmaster","(null)","(null)"
"319","TNN","(null)","(null)"
"321","Topps","(null)","(null)"
"322","Toronto Blue Jays","(null)","(null)"
"323","Toronto Maple Leafs","(null)","(null)"
"324","Toronto Raptors","(null)","(null)"
"325","Toyota","(null)","(null)"
"328","U.S. Airways","(null)","(null)"
"329","UHL","",""
"330","USGA","",""
"331","UPN","(null)","(null)"
"332","Upper Deck","(null)","(null)"
"333","UPS","(null)","(null)"
"334","US West/Qwest","(null)","(null)"
"335","USA Networks","(null)","(null)"
"336","USOC","(null)","(null)"
"337","Utah Jazz","(null)","(null)"
"338","San Antonio Silver Stars","","Utah Starzz"
"339","Vancouver Canucks","(null)","(null)"
"340","Vancouver Grizzlies","(null)","(null)"
"342","Verizon","(null)","(null)"
"343","Viacom","(null)","(null)"
"344","Visa","(null)","(null)"
"345","Vulcan Ventures","(null)","(null)"
"346","Wal-Mart","(null)","(null)"
"347","Walt Disney","(null)","(null)"
"348","Washington Capitals","(null)","(null)"
"349","Washington Mystics","(null)","(null)"
"350","Washington Redskins","(null)","(null)"
"351","Washington Wizards","(null)","(null)"
"352","Wendy's","(null)","(null)"
"353","Wheaties/General Mills","(null)","(null)"
"354","Wieden-Kennedy","(null)","(null)"
"355","Wilson Sporting Goods","(null)","(null)"
"356","WNBA","",""
"358","WTA Tour","(null)","(null)"
"359","Xerox","(null)","(null)"
"361","Yahoo!","(null)","(null)"
"362","YankeeNets","(null)","(null)"
"364","WUSA","(null)","(null)"
"365","Formula One","",""
"366","NCAA","",""
"368","ABA 2000","",""
"369","Canadian Broadcasting Corp.","",""
"370","Delaware North","",""
